태스크,구분,장소명,주소,수신자,화물종류,톤수,task_group,cargo_id,ton_class,region,od_daily_km_benchmark,od_daily_trips_benchmark,estimated_task_distance_km,haversine_leg_km
18,상차지,신성물산보세창고,인천광역시 중구 축항대로 274,,,,18,T18-P2,large,경기,228.8,4.33,91.5,38.83
18,하차지,(주)성우 F&G,경상남도 김해시 식만로 377-155(불암동),박소영,건강보조식품,6.2,18,T18-C1,large,경기,228.8,4.33,91.5,266.93
18,하차지,고려비철금속(주) 유독물창고,인천광역시 남동구 앵고개로 675-4 고잔동 296-1,조승현,"일반, 냉동ㆍ냉장",6.2,18,T18-C2,large,경기,228.8,4.33,91.5,282.98
18,하차지,(주)KCC 울산물류센터,"울산광역시 울주군 두서면 활천산업로 119, (주)KCC울산물류창고 3동",강수빈,건강보조식품,6.1,18,T18-C3,large,경기,228.8,4.33,91.5,357.18
19,상차지,헬스앤뷰티 주식회사,전북특별자치도 익산시 삼기면 삼기농공단지길 27,,,,19,T19-P1,large,전북,252.7,4.09,101.1,
19,상차지,천일물류(주) 냉동냉장 보세창고,"인천광역시 남동구 앵고개로 426 (고잔동, 천일식품제조(주))",,,,19,T19-P2,large,전북,252.7,4.09,101.1,176.64
19,상차지,광일물류(주),"울산광역시 울주군 언양읍 반구대로 1305-73, 광일물류 1동",,,,19,T19-P3,large,전북,252.7,4.09,101.1,277.72
19,하차지,이마트에브리데이,경상북도 경산시 하양읍 지식산업2로 95,조민수,"일반화물, 냉동ㆍ냉장, 목재류, 플라스틱 원재료, 건축자재 등",13.8,19,T19-C1|T19-C2|T19-C3,large,전북,252.7,4.09,101.1,88.19
20,상차지,"(주)세이고(SAYGO Co.,Ltd.)","경기도 부천시 오정구 오정로95번길 66, 부천내동 복합물류센터 7층 (내동)",,,,20,T20-P1,medium,경기,215.2,5.92,86.1,
20,상차지,(주)블루엠텍,경기도 평택시 청북읍 드림산단1로 45,,,,20,T20-P2,medium,경기,215.2,5.92,86.1,36.99
20,상차지,(주)태성푸드,충청북도 진천군 진천읍 장수로 147-28 ((주)씨티에스),,,,20,T20-P3,medium,경기,215.2,5.92,86.1,73.17
20,하차지,씨제이대한통운(주),경상북도 안동시 서후면 북평로 167,박서연,"문구, 화장품, 건강기능식품 등, 일반화물",5.0,20,T20-C1|T20-C3,medium,경기,215.2,5.92,86.1,123.18
20,하차지,(주)청정냉동,경상남도 양산시 소주회야로 45-89 (소주동),신예진,"의약품, 의료기기, 화장품, 건강기능식품 등",2.5,20,T20-C2,medium,경기,215.2,5.92,86.1,136.67
